"","n=2","n=4","n=8","n=16","n=32","n=64"
"x_1",0.389111042211814,0.38911105093247,0.38911105093247,0.38911105093247,0.38911105093247,0.38911105093247
"x_2",NA,0.866306903035576,0.868281812742709,0.868281812742684,0.868281812742684,0.868281812742684
"x_3",-3.18501413805004,-3.18197816636763,-3.18197816648009,-3.18197816648009,-3.18197816648009,-3.18197816648009
"x_4",1.94040130335781,1.94386877566815,1.94386877595329,1.94386877595329,1.94386877595329,1.94386877595329
"x_5",-0.166750206821368,-0.153707712548676,-0.153709384037525,-0.153709384037525,-0.153709384037525,-0.153709384037525
"x_6",1.5859069534533,1.58780839008602,1.58780839010326,1.58780839010326,1.58780839010326,1.58780839010326
"x_7",-0.373435387606394,-0.373435376353431,-0.373435376353431,-0.373435376353431,-0.373435376353431,-0.373435376353431
"x_8",1.68765965947535,1.68766463832255,1.68766463832255,1.68766463832255,1.68766463832255,1.68766463832255
"x_9",-1.40681038617733,-1.41037247645475,-1.4103724764587,-1.4103724764587,-1.4103724764587,-1.4103724764587
"x_10",-0.990500460251868,-0.990500462330496,-0.990500462330496,-0.990500462330496,-0.990500462330496,-0.990500462330496
