"","high","low","close","$n=4$","$n=8$","$n=16$","$n=32$","$n=64$"
"1",NA,NA,NA,-5.11063153351043e-08,-5.11063153351043e-08,-5.11063153351043e-08,-5.11063153351043e-08,-5.11063153351043e-08
"2",NA,NA,NA,1.34108675646451e-08,1.70992267684455e-08,1.70992267684455e-08,1.70992267684455e-08,1.70992267684455e-08
"3",NA,NA,NA,1.04596489724985e-08,1.04596489724985e-08,1.04596489724985e-08,1.04596489724985e-08,1.04596489724985e-08
"4",NA,NA,NA,3.96115080654832e-08,3.96115080654832e-08,3.96115080654832e-08,3.96115080654832e-08,3.96115080654832e-08
"5",NA,NA,NA,-2.01611962416683e-08,2.06628669440167e-09,2.06628669440167e-09,2.06628669440167e-09,2.06628669440167e-09
"6",NA,NA,NA,-6.51915640543226e-09,-6.51915640543226e-09,-6.51915640543226e-09,-6.51915640543226e-09,-6.51915640543226e-09
"7",NA,NA,NA,-2.91367008787797e-08,-2.91367008787797e-08,-2.91367008787797e-08,-2.91367008787797e-08,-2.91367008787797e-08
"8",NA,NA,NA,-1.0388840441303e-08,-1.0388840441303e-08,-1.0388840441303e-08,-1.0388840441303e-08,-1.0388840441303e-08
"9",NA,NA,NA,-1.7407913373394e-08,-1.7407913373394e-08,-1.7407913373394e-08,-1.7407913373394e-08,-1.7407913373394e-08
"10",NA,NA,NA,-0.00123702790144959,9.05234823560154e-08,9.04682771264128e-08,9.04682771264128e-08,9.04682771264128e-08
